id,amount,created_at,order_id,method,status
pay_0206,4706.64,2026-07-08,ORD6778154,netbanking,captured
pay_0528,1968.79,2026-07-01,ORD5900094,card,captured
pay_0076,352.42,2026-07-03,ORD5669315,upi,captured
pay_0470,2192.77,2026-07-11,ORD6960060,card,captured
pay_0016,3088.65,2026-07-01,ORD9795640,netbanking,captured
pay_0516,1241.74,2026-07-05,ORD7232231,card,captured
pay_0331,306.64,2026-07-12,ORD2604212,netbanking,captured
pay_0056,3597.12,2026-07-03,ORD6938047,upi,captured
pay_0281,4574.65,2026-07-11,ORD9838125,upi,captured
pay_0326,4474.37,2026-07-12,ORD1601226,netbanking,captured
pay_0376,1585.97,2026-07-14,ORD1088303,card,captured
pay_0246,597.76,2026-07-10,ORD5874483,card,captured
pay_0156,4895.09,2026-07-06,ORD4510315,upi,captured
pay_0440,1266.41,2026-07-01,ORD8960270,upi,captured
pay_0425,1951.35,2026-07-11,ORD8481328,upi,captured
pay_0552,1402.23,2026-07-08,ORD6163676,netbanking,captured
pay_0196,4666.66,2026-07-08,ORD1500564,netbanking,captured
pay_0432,516.71,2026-07-01,ORD9156384,upi,captured
pay_0492,371.41,2026-07-11,ORD8641877,upi,captured
pay_0412,231.74,2026-07-01,ORD6459041,upi,captured
pay_0036,1197.46,2026-07-02,ORD9697507,card,captured
pay_0216,4708.89,2026-07-08,ORD8538376,card,captured
pay_0434,1723.63,2026-07-01,ORD3473530,upi,captured
pay_0414,1533.58,2026-07-01,ORD6474197,upi,captured
pay_0306,912.08,2026-07-11,ORD7177529,card,captured
pay_0021,2964.67,2026-07-01,ORD8378036,card,captured
pay_0236,515.52,2026-07-09,ORD3394532,upi,captured
pay_0081,2271.34,2026-07-03,ORD5803503,card,captured
pay_0351,287.24,2026-07-13,ORD2904457,upi,captured
pay_0106,3076.64,2026-07-04,ORD6014727,card,captured
pay_0421,1779.61,2026-07-11,ORD1675905,upi,captured
pay_0405,251.25,2026-07-09,ORD5682748,upi,captured
pay_0276,3672.85,2026-07-11,ORD7216691,upi,captured
pay_0449,1121.46,2026-07-01,ORD4310139,upi,captured
pay_0478,2417.86,2026-07-13,ORD5305055,card,captured
pay_0256,1617.23,2026-07-10,ORD5450105,card,captured
pay_0427,1440.95,2026-07-11,ORD2815196,upi,captured
pay_0504,612.98,2026-07-10,ORD3613079,upi,captured
