id,amount,value_date,utr,narration,type
bank_0460,2999.87,2026-07-12,,NEFT RAZORPAY CONSOLIDATED PAYOUT,credit
bank_0333,299.41,2026-07-14,UTR4946215499,NEFT RAZORPAY UTR4946215499,credit
bank_0308,890.56,2026-07-13,UTR7125608583,NEFT RAZORPAY UTR7125608583,credit
bank_0410,3523.63,2026-07-11,UTR8420971335,NEFT RAZORPAY UTR8420971335 BATCH,credit
bank_0323,4136.31,2026-07-14,UTR6081969908,NEFT RAZORPAY UTR6081969908,credit
bank_0238,503.35,2026-07-11,UTR8341223004,NEFT RAZORPAY UTR8341223004,credit
bank_0088,4114.49,2026-07-05,UTR6054299049,NEFT RAZORPAY UTR6054299049,credit
bank_0398,4495.83,2026-07-16,UTR1759835266,NEFT RAZORPAY UTR1759835266,credit
bank_0383,1222.35,2026-07-16,UTR9450881028,NEFT RAZORPAY UTR9450881028,credit
bank_0288,437.34,2026-07-13,UTR8784117648,NEFT RAZORPAY UTR8784117648,credit
bank_0534,972.35,2026-07-09,UTR2359632678,IMPS INWARD CUSTOMER TRANSFER,credit
bank_0083,2217.73,2026-07-05,UTR7560983171,NEFT RAZORPAY UTR7560983171,credit
bank_0223,3505.11,2026-07-11,UTR8327692874,NEFT RAZORPAY UTR8327692874,credit
bank_0573,2003.23,2026-07-12,,NEFT INWARD CEDAR & CO MUMBAI,credit
bank_0208,4595.57,2026-07-10,UTR9279439081,NEFT RAZORPAY UTR9279439081,credit
bank_0343,3958.95,2026-07-15,UTR4841957256,NEFT RAZORPAY UTR4841957256,credit
bank_0008,2227.27,2026-07-03,UTR2297183755,NEFT RAZORPAY UTR2297183755,credit
bank_0258,1579.07,2026-07-12,UTR2279523876,NEFT RAZORPAY UTR2279523876,credit
bank_0494,362.64,2026-07-13,UTR9661163218,NEFT RAZORPAY UTR9661163218,credit
bank_0198,4556.53,2026-07-10,UTR1106993663,NEFT RAZORPAY UTR1106993663,credit
bank_0419,2879.99,2026-07-03,UTR3156314008,NEFT RAZORPAY UTR3156314008 BATCH,credit
bank_0243,2099.14,2026-07-12,UTR2795797434,NEFT RAZORPAY UTR2795797434,credit
bank_0148,269.84,2026-07-08,UTR8545117050,NEFT RAZORPAY UTR8545117050,credit
bank_0298,2625.86,2026-07-13,UTR9846944550,NEFT RAZORPAY UTR9846944550,credit
bank_0283,4466.69,2026-07-13,UTR7471137618,NEFT RAZORPAY UTR7471137618,credit
bank_0293,2219.40,2026-07-13,UTR5902033996,NEFT RAZORPAY UTR5902033996,credit
bank_0531,573.90,2026-07-08,UTR4107436949,IMPS INWARD CUSTOMER TRANSFER,credit
bank_0476,4488.78,2026-07-13,,NEFT RAZORPAY CONSOLIDATED PAYOUT,credit
bank_0118,3034.31,2026-07-07,UTR1740355530,NEFT RAZORPAY UTR1740355530,credit
bank_0348,877.92,2026-07-15,UTR7289326078,NEFT RAZORPAY UTR7289326078,credit
bank_0203,1504.95,2026-07-10,UTR8451374282,NEFT RAZORPAY UTR8451374282,credit
bank_0328,4368.77,2026-07-14,UTR5569901093,NEFT RAZORPAY UTR5569901093,credit
bank_0506,598.51,2026-07-12,UTR6536577636,NEFT RAZORPAY UTR6536577636,credit
bank_0549,2297.98,2026-07-08,UTR9603593542,NEFT RAZORPAY UTR9603593542 (LESS CHGS),credit
bank_0373,2843.26,2026-07-16,UTR2985360394,NEFT RAZORPAY UTR2985360394,credit
bank_0248,583.65,2026-07-12,UTR3178039151,NEFT RAZORPAY UTR3178039151,credit
bank_0273,2121.27,2026-07-12,UTR8489761932,NEFT RAZORPAY UTR8489761932,credit
bank_0533,502.46,2026-07-08,UTR1151304663,IMPS INWARD CUSTOMER TRANSFER,credit
bank_0368,333.35,2026-07-15,UTR9681725109,NEFT RAZORPAY UTR9681725109,credit
bank_0133,4143.02,2026-07-07,UTR9070000609,NEFT RAZORPAY UTR9070000609,credit
bank_0128,3949.86,2026-07-07,UTR3676574419,NEFT RAZORPAY UTR3676574419,credit
bank_0512,1321.74,2026-07-08,UTR1314674303,NEFT RAZORPAY UTR1314674303,credit
bank_0103,3094.38,2026-07-06,UTR3004771056,NEFT RAZORPAY UTR3004771056,credit
bank_0253,4302.44,2026-07-12,UTR8041334608,NEFT RAZORPAY UTR8041334608,credit
bank_0098,218.17,2026-07-06,UTR4816600705,NEFT RAZORPAY UTR4816600705,credit
bank_0443,6044.17,2026-07-03,UTR8617677299,NEFT RAZORPAY UTR8617677299 BATCH,credit
bank_0484,4861.42,2026-07-15,,NEFT RAZORPAY CONSOLIDATED PAYOUT,credit
bank_0063,2485.07,2026-07-05,UTR7813259895,NEFT RAZORPAY UTR7813259895,credit
bank_0158,4779.57,2026-07-08,UTR1325762027,NEFT RAZORPAY UTR1325762027,credit
bank_0138,2548.32,2026-07-08,UTR1086791782,NEFT RAZORPAY UTR1086791782,credit
bank_0570,591.47,2026-07-06,,NEFT INWARD BLUEWAVE MEDIA MUMBAI,credit
bank_0023,2894.71,2026-07-03,UTR6237113339,NEFT RAZORPAY UTR6237113339,credit
bank_0430,5352.76,2026-07-13,UTR8453076984,NEFT RAZORPAY UTR8453076984 BATCH,credit
bank_0178,3367.61,2026-07-09,UTR4007858949,NEFT RAZORPAY UTR4007858949,credit
bank_0168,2244.96,2026-07-09,UTR3546488323,NEFT RAZORPAY UTR3546488323,credit
bank_0268,1186.08,2026-07-12,UTR3586711729,NEFT RAZORPAY UTR3586711729,credit
bank_0043,1781.63,2026-07-04,UTR2550296064,NEFT RAZORPAY UTR2550296064,credit
bank_0028,2228.45,2026-07-03,UTR6301334507,NEFT RAZORPAY UTR6301334507,credit
bank_0338,1397.09,2026-07-14,UTR3486002681,NEFT RAZORPAY UTR3486002681,credit
bank_0068,2231.39,2026-07-05,UTR9421932637,NEFT RAZORPAY UTR9421932637,credit
bank_0358,461.79,2026-07-15,UTR3720230872,NEFT RAZORPAY UTR3720230872,credit
bank_0153,3062.16,2026-07-08,UTR6421557785,NEFT RAZORPAY UTR6421557785,credit
bank_0108,3004.03,2026-07-06,UTR4700771102,NEFT RAZORPAY UTR4700771102,credit
bank_0278,3586.17,2026-07-13,UTR3642834645,NEFT RAZORPAY UTR3642834645,credit
bank_0564,688.30,2026-07-03,UTR2383271596,NEFT RAZORPAY UTR2383271596 (LESS CHGS),credit
bank_0313,4675.89,2026-07-14,UTR6804805359,NEFT RAZORPAY UTR6804805359,credit
bank_0193,2569.61,2026-07-10,UTR1829535582,NEFT RAZORPAY UTR1829535582,credit
bank_0018,3015.76,2026-07-03,UTR4858980689,NEFT RAZORPAY UTR4858980689,credit
bank_0173,2914.06,2026-07-09,UTR2064008776,NEFT RAZORPAY UTR2064008776,credit
bank_0559,358.72,2026-07-08,UTR3249622024,NEFT RAZORPAY UTR3249622024 (LESS CHGS),credit
bank_0163,829.69,2026-07-08,UTR5141472136,NEFT RAZORPAY UTR5141472136,credit
bank_0093,3734.47,2026-07-06,UTR9173390386,NEFT RAZORPAY UTR9173390386,credit
bank_0233,4630.10,2026-07-11,UTR8656751229,NEFT RAZORPAY UTR8656751229,credit
bank_0532,879.08,2026-07-14,UTR9122144366,IMPS INWARD CUSTOMER TRANSFER,credit
bank_0353,280.47,2026-07-15,UTR1562627140,NEFT RAZORPAY UTR1562627140,credit
bank_0363,3121.68,2026-07-15,UTR3834952713,NEFT RAZORPAY UTR3834952713,credit
