id,amount,date,external_ref,memo
ldgr_0009,490.86,2026-07-01,ORD8982089,Sale ORD8982089
ldgr_0289,1844.12,2026-07-09,ORD7788990,Sale ORD7788990
ldgr_0264,3644.23,2026-07-09,ORD1711974,Sale ORD1711974
ldgr_0089,3568.33,2026-07-04,ORD6554803,Sale ORD6554803
ldgr_0380,389.38,2026-07-09,ORD5336401,Sale ORD5336401
ldgr_0417,612.41,2026-07-09,ORD4879624,Sale ORD4879624
ldgr_0309,4614.21,2026-07-10,ORD8669498,Sale ORD8669498
ldgr_0274,2558.90,2026-07-09,ORD6116733,Sale ORD6116733
ldgr_0369,665.03,2026-07-03,ORD8457433,Sale ORD8457433
ldgr_0365,596.87,2026-07-03,ORD5817031,Sale ORD5817031
ldgr_0329,4823.33,2026-07-10,ORD4231968,Sale ORD4231968
ldgr_0179,3665.36,2026-07-06,ORD5995766,Sale ORD5995766
ldgr_0194,1111.58,2026-07-06,ORD1566861,Sale ORD1566861
ldgr_0079,4101.90,2026-07-03,ORD5129534,Sale ORD5129534
ldgr_0404,1140.55,2026-07-02,ORD5059310,Sale ORD5059310
ldgr_0259,3620.98,2026-07-08,ORD4002882,Sale ORD4002882
ldgr_0377,825.15,2026-07-09,ORD9176854,Sale ORD9176854
ldgr_0413,525.84,2026-07-09,ORD6832854,Sale ORD6832854
ldgr_0407,1358.90,2026-07-04,ORD9842119,Sale ORD9842119
ldgr_0014,708.53,2026-07-01,ORD8248258,Sale ORD8248258
ldgr_0354,1232.01,2026-07-04,ORD3806636,Sale ORD3806636
